,video,prompt,model,video_local_path,video_remote_path,video_duration_minutes,video_duration_minutes_returned,video_size_mb,video_size_mb_returned,prompt_tokens_precalculated,video_tokens_precalculated,prompt_token_count,thoughts_token_count,candidates_token_count,total_token_count,prompt_tokens_detail_text,prompt_tokens_detail_video,prompt_tokens_detail_audio
0,lh_video,lh_prompt,gemini-2.5-pro-preview-05-06,../videos/Zearn Screen Recording 2025-04-25 at 7.55.09 AM.mp4,files/9i70vkwtb5fp,3.8833333333333333,3.9,23.3,22.24062728881836,88,69031,69118,3610.0,2579,75307,88,61542,7488
1,lh_video,lh_prompt,gemini-2.5-flash-preview-05-20,../videos/Zearn Screen Recording 2025-04-25 at 7.55.09 AM.mp4,files/9i70vkwtb5fp,3.8833333333333333,3.9,23.3,22.24062728881836,88,69031,69118,2657.0,2090,73865,88,61542,7488
2,lh_video,lh_prompt,gemini-2.0-flash,../videos/Zearn Screen Recording 2025-04-25 at 7.55.09 AM.mp4,files/9i70vkwtb5fp,3.8833333333333333,3.9,23.3,22.24062728881836,88,69031,66492,,868,67360,87,60580,5825
3,lh_video,lh_prompt,gemini-2.0-flash-lite,../videos/Zearn Screen Recording 2025-04-25 at 7.55.09 AM.mp4,files/9i70vkwtb5fp,3.8833333333333333,3.9,23.3,22.24062728881836,88,69031,66492,,682,67174,87,60580,5825
4,lh_video,tq_prompt,gemini-2.5-pro-preview-05-06,../videos/Zearn Screen Recording 2025-04-25 at 7.55.09 AM.mp4,files/9i70vkwtb5fp,3.8833333333333333,3.9,23.3,22.24062728881836,164,69031,69194,2763.0,1609,73566,164,61542,7488
5,lh_video,tq_prompt,gemini-2.5-flash-preview-05-20,../videos/Zearn Screen Recording 2025-04-25 at 7.55.09 AM.mp4,files/9i70vkwtb5fp,3.8833333333333333,3.9,23.3,22.24062728881836,164,69031,69194,2514.0,1393,73101,164,61542,7488
6,lh_video,tq_prompt,gemini-2.0-flash,../videos/Zearn Screen Recording 2025-04-25 at 7.55.09 AM.mp4,files/9i70vkwtb5fp,3.8833333333333333,3.9,23.3,22.24062728881836,164,69031,66568,,833,67401,163,60580,5825
7,lh_video,tq_prompt,gemini-2.0-flash-lite,../videos/Zearn Screen Recording 2025-04-25 at 7.55.09 AM.mp4,files/9i70vkwtb5fp,3.8833333333333333,3.9,23.3,22.24062728881836,164,69031,66568,,435,67003,163,60580,5825
8,tq_video,lh_prompt,gemini-2.5-pro-preview-05-06,../videos/zearn_g8m2l4_brief_confusion.mp4,files/fnpocesuq6rx,2.3166666666666664,2.3333333333333335,5.1,4.888739585876465,88,41301,41388,2325.0,1840,45553,88,36820,4480
9,tq_video,lh_prompt,gemini-2.5-flash-preview-05-20,../videos/zearn_g8m2l4_brief_confusion.mp4,files/fnpocesuq6rx,2.3166666666666664,2.3333333333333335,5.1,4.888739585876465,88,41301,41388,4578.0,1312,47278,88,36820,4480
10,tq_video,lh_prompt,gemini-2.0-flash,../videos/zearn_g8m2l4_brief_confusion.mp4,files/fnpocesuq6rx,2.3166666666666664,2.3333333333333335,5.1,4.888739585876465,88,41301,39702,,976,40678,87,36140,3475
11,tq_video,lh_prompt,gemini-2.0-flash-lite,../videos/zearn_g8m2l4_brief_confusion.mp4,files/fnpocesuq6rx,2.3166666666666664,2.3333333333333335,5.1,4.888739585876465,88,41301,39702,,843,40545,87,36140,3475
12,tq_video,tq_prompt,gemini-2.5-pro-preview-05-06,../videos/zearn_g8m2l4_brief_confusion.mp4,files/fnpocesuq6rx,2.3166666666666664,2.3333333333333335,5.1,4.888739585876465,164,41301,41464,1964.0,1677,45105,164,36820,4480
13,tq_video,tq_prompt,gemini-2.5-flash-preview-05-20,../videos/zearn_g8m2l4_brief_confusion.mp4,files/fnpocesuq6rx,2.3166666666666664,2.3333333333333335,5.1,4.888739585876465,164,41301,41464,1282.0,1060,43806,164,36820,4480
14,tq_video,tq_prompt,gemini-2.0-flash,../videos/zearn_g8m2l4_brief_confusion.mp4,files/fnpocesuq6rx,2.3166666666666664,2.3333333333333335,5.1,4.888739585876465,164,41301,39778,,807,40585,163,36140,3475
15,tq_video,tq_prompt,gemini-2.0-flash-lite,../videos/zearn_g8m2l4_brief_confusion.mp4,files/fnpocesuq6rx,2.3166666666666664,2.3333333333333335,5.1,4.888739585876465,164,41301,39778,,829,40607,163,36140,3475
